0  -0.849 0.005
5  -0.738 0.005
10 -0.537 0.005
15 -0.354 0.005
20 -0.196 0.005
25 -0.019 0.005
30  0.262 0.005
35  0.413 0.005
40  0.734 0.005
45  0.882 0.005
50  1.258 0.005
55  1.305 0.005
60  1.541 0.005
65  1.768 0.005
70  1.935 0.005
75  2.147 0.005
80  2.456 0.005
85  2.676 0.005
90  2.994 0.005
95  3.200 0.005
100 3.318 0.005
